EPISODE,TITLE,APPLE_FRAME,AURORA_BOREALIS,BARN,BEACH,BOAT,BRIDGE,BUILDING,BUSHES,CABIN,CACTUS,CIRCLE_FRAME,CIRRUS,CLIFF,CLOUDS,CONIFER,CUMULUS,DECIDUOUS,DIANE_ANDRE,DOCK,DOUBLE_OVAL_FRAME,FARM,FENCE,FIRE,FLORIDA_FRAME,FLOWERS,FOG,FRAMED,GRASS,GUEST,HALF_CIRCLE_FRAME,HALF_OVAL_FRAME,HILLS,LAKE,LAKES,LIGHTHOUSE,MILL,MOON,MOUNTAIN,MOUNTAINS,NIGHT,OCEAN,OVAL_FRAME,PALM_TREES,PATH,PERSON,PORTRAIT,RECTANGLE_3D_FRAME,RECTANGULAR_FRAME,RIVER,ROCKS,SEASHELL_FRAME,SNOW,SNOWY_MOUNTAIN,SPLIT_FRAME,STEVE_ROSS,STRUCTURE,SUN,TOMB_FRAME,TREE,TREES,TRIPLE_FRAME,WATERFALL,WAVES,WINDMILL,WINDOW_FRAME,WINTER,WOOD_FRAMED, EPISODE_TITLE, AIR_DATE,id,painting_index,img_src,"PAINTING_TITLE",season,episode,num_colors,youtube_src,colors,color_hex,Black_Gesso,Bright_Red,Burnt_Umber,Cadmium_Yellow,Dark_Sienna,Indian_Red,Indian_Yellow,Liquid_Black,Liquid_Clear,Midnight_Black,Phthalo_Blue,Phthalo_Green,Prussian_Blue,Sap_Green,Titanium_White,Van_Dyke_Brown,Yellow_Ochre,Alizarin_Crimson
S01E01,"A WALK IN THE WOODS",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,"A WALK IN THE WOODS",January 11 1983,1,282,https://www.twoinchbrush.com/images/painting282.png,"A WALK IN THE WOODS",1,1,8,https://www.youtube.com/embed/oh5p5f5_-7A,"  'Alizarin Crimson' 'Bright Red' 'Cadmium Yellow' 'Phthalo Green\r\n' 'Prussian Blue' 'Sap Green' 'Titanium White' 'Van Dyke Brown' ","  '#4E1500' '#DB0000' '#FFEC00' '#102E3C' '#021E44' '#0A3410' '#FFFFFF' '#221B15' ",0,1,0,1,0,0,0,0,0,0,0,1,1,1,1,1,0,1 
S01E02,"MOUNT MCKINLEY",0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,1,0,0,0,0,0,1,0,"MOUNT MCKINLEY", January 11 1983,2,283,https://www.twoinchbrush.com/images/painting283.png,"MOUNT MCKINLEY",1,2,8,https://www.youtube.com/embed/RInDWhYceLU,"  'Alizarin Crimson' 'Bright Red' 'Cadmium Yellow' 'Phthalo Green\r\n' 'Prussian Blue' 'Sap Green' 'Titanium White' 'Van Dyke Brown' ","  '#4E1500' '#DB0000' '#FFEC00' '#102E3C' '#021E44' '#0A3410' '#FFFFFF' '#221B15' ",0,1,0,1,0,0,0,0,0,0,0,1,1,1,1,1,0,1
S01E03,"EBONY SUNSET",0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,1,0,0,0,0,0,1,0,"EBONY SUNSET", January 18 1983,3,284,https://www.twoinchbrush.com/images/painting284.png,"EBONY SUNSET",1,3,9,https://www.youtube.com/embed/UOziR7PoVco,"  'Alizarin Crimson' 'Black Gesso' 'Bright Red' 'Cadmium Yellow' 'Phthalo Green\r\n' 'Prussian Blue' 'Sap Green' 'Titanium White' 'Van Dyke Brown' ","  '#4E1500' '#000000' '#DB0000' '#FFEC00' '#102E3C' '#021E44' '#0A3410' '#FFFFFF' '#221B15' ",1,1,0,1,0,0,0,0,0,0,0,1,1,1,1,1,0,1
S01E04,"WINTER MIST",0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,"WINTER MIST", January 25 1983,4,285,https://www.twoinchbrush.com/images/painting285.png,"WINTER MIST",1,4,3,https://www.youtube.com/embed/0pwoixRikn4,"  'Prussian Blue' 'Titanium White' 'Van Dyke Brown' ","  '#021E44' '#FFFFFF' '#221B15' ",0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0
S01E05,"QUIET STREAM",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,"QUIET STREAM", February 1 1983,5,286,https://www.twoinchbrush.com/images/painting286.png,"QUIET STREAM",1,5,8,https://www.youtube.com/embed/DFSIQNjKRfk,"  'Alizarin Crimson' 'Bright Red' 'Cadmium Yellow' 'Phthalo Green\r\n' 'Prussian Blue' 'Sap Green' 'Titanium White' 'Van Dyke Brown' ","  '#4E1500' '#DB0000' '#FFEC00' '#102E3C' '#021E44' '#0A3410' '#FFFFFF' '#221B15' ",0,1,0,1,0,0,0,0,0,0,0,1,1,1,1,1,0,1
S01E06,"WINTER MOON",0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,1,1,0,0,0,0,0,1,0,"WINTER MOON", February 8 1983,6,287,https://www.twoinchbrush.com/images/painting287.png,"WINTER MOON",1,6,4,https://www.youtube.com/embed/loAzRUzx1wI,"  'Black Gesso' 'Prussian Blue' 'Titanium White' 'Van Dyke Brown' ","  '#000000' '#021E44' '#FFFFFF' '#221B15' ",1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0
S01E07,"AUTUMN MOUNTAINS",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,"AUTUMN MOUNTAINS", February 15 1983,7,288,https://www.twoinchbrush.com/images/painting288.png,"AUTUMN MOUNTAIN",1,7,8,https://www.youtube.com/embed/sDdpc8uisD0,"  'Alizarin Crimson' 'Bright Red' 'Cadmium Yellow' 'Phthalo Green\r\n' 'Prussian Blue' 'Sap Green' 'Titanium White' 'Van Dyke Brown' ","  '#4E1500' '#DB0000' '#FFEC00' '#102E3C' '#021E44' '#0A3410' '#FFFFFF' '#221B15' ",0,1,0,1,0,0,0,0,0,0,0,1,1,1,1,1,0,1
S01E08,"PEACEFUL VALLEY",0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,"PEACEFUL VALLEY", February 22 1983,8,289,https://www.twoinchbrush.com/images/painting289.png,"PEACEFUL VALLEY",1,8,8,https://www.youtube.com/embed/kQlFwTOkYzg,"  'Alizarin Crimson' 'Bright Red' 'Cadmium Yellow' 'Phthalo Green\r\n' 'Prussian Blue' 'Sap Green' 'Titanium White' 'Van Dyke Brown' ","  '#4E1500' '#DB0000' '#FFEC00' '#102E3C' '#021E44' '#0A3410' '#FFFFFF' '#221B15' ",0,1,0,1,0,0,0,0,0,0,0,1,1,1,1,1,0,1
S01E09,"SEASCAPE",0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"SEASCAPE", March 1 1983,9,290,https://www.twoinchbrush.com/images/painting290.png,"SEASCAPE",1,9,8,https://www.youtube.com/embed/QxcS7p1VHyQ,"  'Alizarin Crimson' 'Bright Red' 'Cadmium Yellow' 'Phthalo Green\r\n' 'Prussian Blue' 'Sap Green' 'Titanium White' 'Van Dyke Brown' ","  '#4E1500' '#DB0000' '#FFEC00' '#102E3C' '#021E44' '#0A3410' '#FFFFFF' '#221B15' ",0,1,0,1,0,0,0,0,0,0,0,1,1,1,1,1,0,1
S01E10,"MOUNTAIN LAKE",0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,"MOUNTAIN LAKE", March 8 1983,10,291,https://www.twoinchbrush.com/images/painting291.png,"MOUNTAIN LAKE",1,10,8,https://www.youtube.com/embed/wDnLlywAL5I,"  'Alizarin Crimson' 'Bright Red' 'Cadmium Yellow' 'Phthalo Green\r\n' 'Prussian Blue' 'Sap Green' 'Titanium White' 'Van Dyke Brown' ","  '#4E1500' '#DB0000' '#FFEC00' '#102E3C' '#021E44' '#0A3410' '#FFFFFF' '#221B15' ",0,1,0,1,0,0,0,0,0,0,0,1,1,1,1,1,0,1
S01E11,"WINTER GLOW",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,"WINTER GLOW", March 15 1983,11,292,https://www.twoinchbrush.com/images/painting292.png,"WINTER GLOW",1,11,8,https://www.youtube.com/embed/Q03YvknOVe0,"  'Alizarin Crimson' 'Bright Red' 'Cadmium Yellow' 'Phthalo Green\r\n' 'Prussian Blue' 'Sap Green' 'Titanium White' 'Van Dyke Brown' ","  '#4E1500' '#DB0000' '#FFEC00' '#102E3C' '#021E44' '#0A3410' '#FFFFFF' '#221B15' ",0,1,0,1,0,0,0,0,0,0,0,1,1,1,1,1,0,1
